image,sigma_s,sigma_r,alpha_r,psnr,ssim,gastal_admm_it,farbman_admm_it,success,tol
kodim01.png,1.0,73.57142857142857,0.65,44.225723953804355,0.9962236824728766,10,10,1,0.001
kodim01.png,1.0,73.57142857142857,0.7,44.3078905346926,0.996274631215458,10,10,1,0.001
kodim01.png,1.0,73.57142857142857,0.75,44.42327322914433,0.9963456317419109,10,10,1,0.001
kodim01.png,1.0,73.57142857142857,0.8,44.57597403279024,0.996440414814173,10,10,1,0.001
kodim01.png,1.0,73.57142857142857,0.8500000000000001,44.762801623346355,0.9965600561676642,10,10,1,0.001
kodim01.png,1.0,73.57142857142857,0.9,44.970921645291625,0.9967014050809667,10,10,1,0.001
kodim01.png,1.0,73.57142857142857,0.95,45.18187041424069,0.9968572256421085,10,10,1,0.001
kodim01.png,1.0,73.57142857142857,1.0,45.38288387892806,0.9970187283867187,10,10,1,0.001
kodim01.png,1.0,91.71428571428571,0.5,44.09251551181714,0.9961363099659957,10,10,1,0.001
kodim01.png,1.0,91.71428571428571,0.55,44.10846965350116,0.996146957614437,10,10,1,0.001
kodim01.png,1.0,91.71428571428571,0.6,44.133129940458325,0.9961629045101172,10,10,1,0.001
kodim01.png,1.0,91.71428571428571,0.65,44.170824074084464,0.9961866009174757,10,10,1,0.001
kodim01.png,1.0,91.71428571428571,0.7,44.227403990396624,0.9962213516383853,10,10,1,0.001
kodim01.png,1.0,91.71428571428571,0.75,44.30993303475652,0.9962712591575391,10,10,1,0.001
kodim01.png,1.0,91.71428571428571,0.8,44.425230845268935,0.9963407269739788,10,10,1,0.001
kodim01.png,1.0,91.71428571428571,0.8500000000000001,44.57679773554547,0.9964332874102727,10,10,1,0.001
kodim01.png,1.0,91.71428571428571,0.9,44.760883719743234,0.9965498772429242,10,10,1,0.001
kodim01.png,1.0,91.71428571428571,0.95,44.96475952961767,0.9966874347314867,10,10,1,0.001
kodim01.png,1.0,91.71428571428571,1.0,45.17119570206784,0.9968391431428497,10,10,1,0.001
kodim01.png,1.0,109.85714285714286,0.5,44.084040770202336,0.9961300080448549,10,10,1,0.001
kodim01.png,1.0,109.85714285714286,0.55,44.095260188921024,0.9961374920038286,10,10,1,0.001
kodim01.png,1.0,109.85714285714286,0.6,44.11269950182177,0.9961487555178052,10,10,1,0.001
kodim01.png,1.0,109.85714285714286,0.65,44.13959886490495,0.9961656213429576,10,10,1,0.001
kodim01.png,1.0,109.85714285714286,0.7,44.18056283294984,0.9961906499321493,10,10,1,0.001
kodim01.png,1.0,109.85714285714286,0.75,44.241666861948616,0.9962272432741847,10,10,1,0.001
kodim01.png,1.0,109.85714285714286,0.8,44.32991933771318,0.996279515271457,10,10,1,0.001
kodim01.png,1.0,109.85714285714286,0.8500000000000001,44.45145864719214,0.9963516777656644,10,10,1,0.001
kodim01.png,1.0,109.85714285714286,0.9,44.60824760804635,0.9964467672776536,10,10,1,0.001
